op                  shape
------------------  -----------------
logprobs            [1, 166, 1025]
Transpose           [1, 663, 80]
Cast                [1]
Constant            []
Add                 [1]
Constant            []
Div                 [1]
Constant            []
Add                 [1]
Floor               [1]
Cast                [1]
Constant            []
Add                 [1]
Constant            []
Div                 [1]
Constant            []
Add                 [1]
Floor               [1]
Cast                [1]
Constant            [1]
Unsqueeze           [1, 1, 663, 80]
Conv                [1, 176, 332, 40]
Relu                [1, 176, 332, 40]
Conv                [1, 176, 166, 20]
Relu                [1, 176, 166, 20]
Shape               [4]
Constant            []
Gather              []
Shape               [4]
Constant            []
Gather              []
Transpose           [1, 166, 176, 20]
onnx::Unsqueeze     [1]
Unsqueeze           [1]
onnx::Unsqueeze     [1]
Unsqueeze           [1]
Constant            [1]
Concat              [3]
Reshape             [1, 166, 3520]
MatMul              [1, 166, 176]
Add                 [1, 166, 176]
Shape               [3]
Constant            []
Gather              []
Constant            []
Mul                 [1, 166, 176]
Shape               [3]
Constant            []
Gather              []
Constant            []
Sub                 []
Constant            []
Add                 []
Constant            []
Sub                 []
onnx::Slice         [1, 9999, 176]
Constant            [1]
Unsqueeze           [1]
Constant            [1]
Unsqueeze           [1]
Constant            [1]
Constant            [1]
Slice               [1, 331, 176]
Constant            []
Cast                []
Constant            []
Range               [166]
Shape               [1]
Constant            []
Gather              []
Constant            [1]
Unsqueeze           [1]
Constant            [1]
Concat              [2]
Constant            [1]
Reshape             [2]
Shape               [1]
ConstantOfShape     [2]
Constant            []
Mul                 [2]
Equal               [2]
Where               [2]
Expand              [1, 166]
Constant            [1]
Unsqueeze           [1, 1]
Cast                [1, 1]
Less                [1, 166]
Constant            [1]
Unsqueeze           [1, 1, 166]
Constant            [1]
onnx::Unsqueeze     [1]
Unsqueeze           [1]
Constant            [1]
Concat              [3]
Constant            [1]
onnx::Unsqueeze     [1]
Unsqueeze           [1]
Constant            [1]
Concat              [3]
Shape               [1]
ConstantOfShape     [3]
Expand              [1, 1, 166]
Tile                [1, 166, 166]
Transpose           [1, 166, 166]
Cast                [1, 166, 166]
Cast                [1, 166, 166]
And                 [1, 166, 166]
onnx::Slice         [1, 5000, 5000]
Constant            [1]
Constant            [1]
Unsqueeze           [1]
Constant            [1]
Constant            [1]
Slice               [1, 166, 5000]
Constant            [1]
Constant            [1]
Unsqueeze           [1]
Constant            [1]
Constant            [1]
Slice               [1, 166, 166]
Cast                [1, 166, 166]
Cast                [1, 166, 166]
Cast                [1, 166, 166]
And                 [1, 166, 166]
Not                 [1, 166, 166]
Not                 [1, 166]
Cast                [1, 166, 176]
ReduceMean          [1, 166, 1]
Sub                 [1, 166, 176]
Constant            []
Pow                 [1, 166, 176]
ReduceMean          [1, 166, 1]
Constant            []
Add                 [1, 166, 1]
Sqrt                [1, 166, 1]
Div                 [1, 166, 176]
Mul                 [1, 166, 176]
Add                 [1, 166, 176]
Cast                [1, 166, 176]
MatMul              [1, 166, 704]
Add                 [1, 166, 704]
Sigmoid             [1, 166, 704]
Mul                 [1, 166, 704]
MatMul              [1, 166, 176]
Add                 [1, 166, 176]
Constant            []
Mul                 [1, 166, 176]
Add                 [1, 166, 176]
Cast                [1, 166, 176]
ReduceMean          [1, 166, 1]
Sub                 [1, 166, 176]
Constant            []
Pow                 [1, 166, 176]
ReduceMean          [1, 166, 1]
Constant            []
